train_no,train_name,seq,station_code,station_name,arrival_time,departure_time,distance,source_station,destination_station
12302,Train 12302,12,STN12,Station 12,01:01,01:03,768,STN1,STN17
12302,Train 12302,13,STN13,Station 13,02:35,02:40,849,STN1,STN17
12302,Train 12302,14,STN14,Station 14,03:33,03:42,905,STN1,STN17
12302,Train 12302,15,STN15,Station 15,05:16,05:22,946,STN1,STN17
12302,Train 12302,16,STN16,Station 16,06:02,06:06,980,STN1,STN17
12302,Train 12302,17,STN17,Station 17,07:03,00:00,1038,STN1,STN17
12951,Train 12951,1,STN1,Station 1,00:00,08:05,0,STN1,STN15
12951,Train 12951,2,STN2,Station 2,09:03,09:07,37,STN1,STN15
12951,Train 12951,3,STN3,Station 3,11:03,11:12,101,STN1,STN15
12951,Train 12951,4,STN4,Station 4,12:25,12:33,164,STN1,STN15
12951,Train 12951,5,STN5,Station 5,14:28,14:31,234,STN1,STN15
12951,Train 12951,6,STN6,Station 6,16:03,16:07,328,STN1,STN15
12951,Train 12951,7,STN7,Station 7,17:35,17:37,400,STN1,STN15
12951,Train 12951,8,STN8,Station 8,19:07,19:12,447,STN1,STN15
12951,Train 12951,9,STN9,Station 9,19:55,20:02,501,STN1,STN15
12951,Train 12951,10,STN10,Station 10,21:38,21:40,596,STN1,STN15
12951,Train 12951,11,STN11,Station 11,22:57,23:03,673,STN1,STN15
12951,Train 12951,12,STN12,Station 12,00:35,00:38,761,STN1,STN15
12951,Train 12951,13,STN13,Station 13,01:47,01:53,830,STN1,STN15
12951,Train 12951,14,STN14,Station 14,03:32,03:37,884,STN1,STN15
12951,Train 12951,15,STN15,Station 15,05:19,00:00,952,STN1,STN15
12952,Train 12952,1,STN1,Station 1,00:00,08:04,0,STN1,STN18
12952,Train 12952,2,STN2,Station 2,09:47,09:54,98,STN1,STN18
12952,Train 12952,3,STN3,Station 3,11:33,11:38,144,STN1,STN18
12952,Train 12952,4,STN4,Station 4,13:24,13:34,207,STN1,STN18
12952,Train 12952,5,STN5,Station 5,15:25,15:29,294,STN1,STN18
12952,Train 12952,6,STN6,Station 6,16:11,16:15,382,STN1,STN18
12952,Train 12952,7,STN7,Station 7,18:01,18:06,482,STN1,STN18
12952,Train 12952,8,STN8,Station 8,19:30,19:35,573,STN1,STN18
12952,Train 12952,9,STN9,Station 9,20:31,20:35,673,STN1,STN18
12952,Train 12952,10,STN10,Station 10,21:57,22:02,734,STN1,STN18
12952,Train 12952,11,STN11,Station 11,23:19,23:28,804,STN1,STN18
12952,Train 12952,12,STN12,Station 12,00:16,00:26,884,STN1,STN18
12952,Train 12952,13,STN13,Station 13,01:38,01:42,915,STN1,STN18
12952,Train 12952,14,STN14,Station 14,03:33,03:42,987,STN1,STN18
12952,Train 12952,15,STN15,Station 15,05:21,05:23,1034,STN1,STN18
12952,Train 12952,16,STN16,Station 16,07:13,07:21,1064,STN1,STN18
12952,Train 12952,17,STN17,Station 17,08:53,09:01,1129,STN1,STN18
12952,Train 12952,18,STN18,Station 18,10:32,00:00,1160,STN1,STN18
12625,Train 12625,1,STN1,Station 1,00:00,08:07,0,STN1,STN14
12625,Train 12625,2,STN2,Station 2,09:18,09:28,90,STN1,STN14
12625,Train 12625,3,STN3,Station 3,11:02,11:06,128,STN1,STN14
12625,Train 12625,4,STN4,Station 4,12:59,13:04,218,STN1,STN14
12625,Train 12625,5,STN5,Station 5,14:08,14:10,300,STN1,STN14
12625,Train 12625,6,STN6,Station 6,15:26,15:36,382,STN1,STN14
12625,Train 12625,7,STN7,Station 7,16:47,16:54,437,STN1,STN14
12625,Train 12625,8,STN8,Station 8,17:50,17:54,530,STN1,STN14
12625,Train 12625,9,STN9,Station 9,18:47,18:50,583,STN1,STN14
12625,Train 12625,10,STN10,Station 10,20:02,20:12,652,STN1,STN14
12625,Train 12625,11,STN11,Station 11,21:03,21:12,734,STN1,STN14
12625,Train 12625,12,STN12,Station 12,23:00,23:02,817,STN1,STN14
12625,Train 12625,13,STN13,Station 13,00:03,00:09,898,STN1,STN14
12625,Train 12625,14,STN14,Station 14,01:59,00:00,952,STN1,STN14
12626,Train 12626,1,STN1,Station 1,00:00,08:09,0,STN1,STN25
12626,Train 12626,2,STN2,Station 2,09:23,09:30,80,STN1,STN25
12626,Train 12626,3,STN3,Station 3,10:47,10:55,142,STN1,STN25
12626,Train 12626,4,STN4,Station 4,11:45,11:53,203,STN1,STN25
12626,Train 12626,5,STN5,Station 5,13:53,13:57,292,STN1,STN25
12626,Train 12626,6,STN6,Station 6,15:48,15:52,363,STN1,STN25
12626,Train 12626,7,STN7,Station 7,17:23,17:31,395,STN1,STN25
12626,Train 12626,8,STN8,Station 8,19:26,19:30,478,STN1,STN25
12626,Train 12626,9,STN9,Station 9,20:45,20:52,509,STN1,STN25
12626,Train 12626,10,STN10,Station 10,22:47,22:50,602,STN1,STN25
12626,Train 12626,11,STN11,Station 11,00:49,00:55,680,STN1,STN25
12626,Train 12626,12,STN12,Station 12,01:37,01:39,710,STN1,STN25
12626,Train 12626,13,STN13,Station 13,03:25,03:27,750,STN1,STN25
12626,Train 12626,14,STN14,Station 14,04:48,04:56,780,STN1,STN25
12626,Train 12626,15,STN15,Station 15,05:43,05:48,813,STN1,STN25
12626,Train 12626,16,STN16,Station 16,07:36,07:41,862,STN1,STN25
12626,Train 12626,17,STN17,Station 17,08:30,08:33,899,STN1,STN25
12626,Train 12626,18,STN18,Station 18,09:33,09:37,987,STN1,STN25
12626,Train 12626,19,STN19,Station 19,11:32,11:34,1040,STN1,STN25
12626,Train 12626,20,STN20,Station 20,13:17,13:26,1094,STN1,STN25
12626,Train 12626,21,STN21,Station 21,14:08,14:18,1178,STN1,STN25
12626,Train 12626,22,STN22,Station 22,15:19,15:22,1224,STN1,STN25
12626,Train 12626,23,STN23,Station 23,16:49,16:51,1297,STN1,STN25
12626,Train 12626,24,STN24,Station 24,18:20,18:28,1352,STN1,STN25
12626,Train 12626,25,STN25,Station 25,19:29,00:00,1448,STN1,STN25
17404,Train 17404,1,STN1,Station 1,00:00,08:05,0,STN1,STN12
17404,Train 17404,2,STN2,Station 2,09:43,09:45,87,STN1,STN12
17404,Train 17404,3,STN3,Station 3,10:53,11:03,187,STN1,STN12
17404,Train 17404,4,STN4,Station 4,12:38,12:47,259,STN1,STN12
17404,Train 17404,5,STN5,Station 5,14:19,14:25,318,STN1,STN12
17404,Train 17404,6,STN6,Station 6,15:08,15:13,354,STN1,STN12
17404,Train 17404,7,STN7,Station 7,16:04,16:07,425,STN1,STN12
17404,Train 17404,8,STN8,Station 8,17:20,17:22,501,STN1,STN12
17404,Train 17404,9,STN9,Station 9,18:49,18:54,583,STN1,STN12
17404,Train 17404,10,STN10,Station 10,20:27,20:32,665,STN1,STN12
17404,Train 17404,11,STN11,Station 11,21:33,21:38,712,STN1,STN12
17404,Train 17404,12,STN12,Station 12,23:08,00:00,781,STN1,STN12
17177,Train 17177,1,STN1,Station 1,00:00,08:02,0,STN1,STN16
17177,Train 17177,2,STN2,Station 2,09:42,09:49,64,STN1,STN16
17177,Train 17177,3,STN3,Station 3,11:49,11:58,98,STN1,STN16
17177,Train 17177,4,STN4,Station 4,13:01,13:05,196,STN1,STN16
17177,Train 17177,5,STN5,Station 5,15:02,15:05,290,STN1,STN16
17177,Train 17177,6,STN6,Station 6,16:28,16:33,383,STN1,STN16
17177,Train 17177,7,STN7,Station 7,17:56,18:00,470,STN1,STN16
17177,Train 17177,8,STN8,Station 8,18:59,19:03,538,STN1,STN16
17177,Train 17177,9,STN9,Station 9,20:50,20:55,585,STN1,STN16
17177,Train 17177,10,STN10,Station 10,21:35,21:40,624,STN1,STN16
17177,Train 17177,11,STN11,Station 11,23:29,23:36,692,STN1,STN16
17177,Train 17177,12,STN12,Station 12,01:16,01:26,768,STN1,STN16
17177,Train 17177,13,STN13,Station 13,03:05,03:13,815,STN1,STN16
17177,Train 17177,14,STN14,Station 14,04:51,04:57,891,STN1,STN16
17177,Train 17177,15,STN15,Station 15,06:09,06:17,957,STN1,STN16
17177,Train 17177,16,STN16,Station 16,07:13,00:00,1023,STN1,STN16
11751,Train 11751,1,STN1,Station 1,00:00,08:03,0,STN1,STN28
11751,Train 11751,2,STN2,Station 2,09:38,09:41,56,STN1,STN28
11751,Train 11751,3,STN3,Station 3,11:32,11:35,101,STN1,STN28
11751,Train 11751,4,STN4,Station 4,12:58,13:08,137,STN1,STN28
11751,Train 11751,5,STN5,Station 5,14:42,14:52,223,STN1,STN28
11751,Train 11751,6,STN6,Station 6,16:30,16:36,272,STN1,STN28
11751,Train 11751,7,STN7,Station 7,17:52,18:02,328,STN1,STN28
11751,Train 11751,8,STN8,Station 8,18:55,18:59,398,STN1,STN28
11751,Train 11751,9,STN9,Station 9,20:54,20:56,447,STN1,STN28
11751,Train 11751,10,STN10,Station 10,22:05,22:08,534,STN1,STN28
11751,Train 11751,11,STN11,Station 11,22:58,23:06,591,STN1,STN28
11751,Train 11751,12,STN12,Station 12,01:01,01:09,625,STN1,STN28
11751,Train 11751,13,STN13,Station 13,02:50,02:52,667,STN1,STN28
11751,Train 11751,14,STN14,Station 14,04:10,04:14,720,STN1,STN28
11751,Train 11751,15,STN15,Station 15,05:20,05:29,792,STN1,STN28
11751,Train 11751,16,STN16,Station 16,07:01,07:09,881,STN1,STN28
11751,Train 11751,17,STN17,Station 17,08:20,08:29,945,STN1,STN28
11751,Train 11751,18,STN18,Station 18,10:02,10:08,1021,STN1,STN28
11751,Train 11751,19,STN19,Station 19,11:10,11:17,1092,STN1,STN28
11751,Train 11751,20,STN20,Station 20,12:42,12:51,1141,STN1,STN28
11751,Train 11751,21,STN21,Station 21,14:01,14:08,1222,STN1,STN28
11751,Train 11751,22,STN22,Station 22,15:57,16:07,1293,STN1,STN28
11751,Train 11751,23,STN23,Station 23,17:07,17:13,1345,STN1,STN28
11751,Train 11751,24,STN24,Station 24,18:30,18:34,1426,STN1,STN28
11751,Train 11751,25,STN25,Station 25,19:38,19:41,1515,STN1,STN28
11751,Train 11751,26,STN26,Station 26,21:06,21:09,1596,STN1,STN28
11751,Train 11751,27,STN27,Station 27,23:00,23:04,1684,STN1,STN28
11751,Train 11751,28,STN28,Station 28,23:58,00:00,1758,STN1,STN28
15286,Train 15286,1,STN1,Station 1,00:00,08:03,0,STN1,STN13
15286,Train 15286,2,STN2,Station 2,09:46,09:56,37,STN1,STN13
15286,Train 15286,3,STN3,Station 3,11:30,11:37,70,STN1,STN13
15286,Train 15286,4,STN4,Station 4,12:57,13:05,117,STN1,STN13
15286,Train 15286,5,STN5,Station 5,14:27,14:32,190,STN1,STN13
15286,Train 15286,6,STN6,Station 6,15:32,15:39,289,STN1,STN13
15286,Train 15286,7,STN7,Station 7,17:23,17:27,351,STN1,STN13
15286,Train 15286,8,STN8,Station 8,18:47,18:51,440,STN1,STN13
15286,Train 15286,9,STN9,Station 9,19:42,19:48,495,STN1,STN13
15286,Train 15286,10,STN10,Station 10,21:13,21:22,552,STN1,STN13
15286,Train 15286,11,STN11,Station 11,22:46,22:53,615,STN1,STN13
15286,Train 15286,12,STN12,Station 12,23:38,23:41,671,STN1,STN13
15286,Train 15286,13,STN13,Station 13,01:11,00:00,713,STN1,STN13
17606,Train 17606,1,STN1,Station 1,00:00,08:02,0,STN1,STN22
17606,Train 17606,2,STN2,Station 2,10:01,10:03,69,STN1,STN22
17606,Train 17606,3,STN3,Station 3,11:02,11:12,113,STN1,STN22
17606,Train 17606,4,STN4,Station 4,12:57,13:06,152,STN1,STN22
17606,Train 17606,5,STN5,Station 5,14:18,14:22,191,STN1,STN22
17606,Train 17606,6,STN6,Station 6,15:13,15:22,291,STN1,STN22
17606,Train 17606,7,STN7,Station 7,17:07,17:09,345,STN1,STN22
17606,Train 17606,8,STN8,Station 8,18:51,18:55,398,STN1,STN22
17606,Train 17606,9,STN9,Station 9,20:11,20:21,486,STN1,STN22
17606,Train 17606,10,STN10,Station 10,21:20,21:24,577,STN1,STN22
17606,Train 17606,11,STN11,Station 11,22:04,22:12,613,STN1,STN22
17606,Train 17606,12,STN12,Station 12,23:49,23:59,647,STN1,STN22
17606,Train 17606,13,STN13,Station 13,00:42,00:46,690,STN1,STN22
17606,Train 17606,14,STN14,Station 14,02:11,02:15,731,STN1,STN22
17606,Train 17606,15,STN15,Station 15,03:39,03:43,819,STN1,STN22
17606,Train 17606,16,STN16,Station 16,05:29,05:35,887,STN1,STN22
17606,Train 17606,17,STN17,Station 17,07:33,07:38,963,STN1,STN22
17606,Train 17606,18,STN18,Station 18,09:02,09:09,1036,STN1,STN22
17606,Train 17606,19,STN19,Station 19,10:34,10:41,1130,STN1,STN22
17606,Train 17606,20,STN20,Station 20,11:51,11:58,1184,STN1,STN22
17606,Train 17606,21,STN21,Station 21,12:45,12:51,1256,STN1,STN22
17606,Train 17606,22,STN22,Station 22,14:06,00:00,1300,STN1,STN22
13896,Train 13896,1,STN1,Station 1,00:00,08:07,0,STN1,STN13
13896,Train 13896,2,STN2,Station 2,09:42,09:49,42,STN1,STN13
13896,Train 13896,3,STN3,Station 3,11:13,11:18,135,STN1,STN13
13896,Train 13896,4,STN4,Station 4,12:16,12:24,173,STN1,STN13
13896,Train 13896,5,STN5,Station 5,14:08,14:15,250,STN1,STN13
13896,Train 13896,6,STN6,Station 6,16:06,16:08,340,STN1,STN13
13896,Train 13896,7,STN7,Station 7,18:01,18:04,380,STN1,STN13
13896,Train 13896,8,STN8,Station 8,18:48,18:50,469,STN1,STN13
13896,Train 13896,9,STN9,Station 9,20:21,20:31,542,STN1,STN13
13896,Train 13896,10,STN10,Station 10,21:19,21:24,632,STN1,STN13
13896,Train 13896,11,STN11,Station 11,23:18,23:21,714,STN1,STN13
13896,Train 13896,12,STN12,Station 12,00:52,00:59,756,STN1,STN13
13896,Train 13896,13,STN13,Station 13,01:59,00:00,827,STN1,STN13
18276,Train 18276,1,STN1,Station 1,00:00,08:04,0,STN1,STN28
18276,Train 18276,2,STN2,Station 2,09:42,09:52,73,STN1,STN28
18276,Train 18276,3,STN3,Station 3,11:09,11:11,131,STN1,STN28
18276,Train 18276,4,STN4,Station 4,12:24,12:33,225,STN1,STN28
18276,Train 18276,5,STN5,Station 5,13:17,13:26,284,STN1,STN28
18276,Train 18276,6,STN6,Station 6,14:10,14:13,340,STN1,STN28
18276,Train 18276,7,STN7,Station 7,15:28,15:33,404,STN1,STN28
18276,Train 18276,8,STN8,Station 8,16:19,16:27,436,STN1,STN28
18276,Train 18276,9,STN9,Station 9,17:40,17:50,510,STN1,STN28
18276,Train 18276,10,STN10,Station 10,19:07,19:16,595,STN1,STN28
18276,Train 18276,11,STN11,Station 11,21:14,21:22,683,STN1,STN28
18276,Train 18276,12,STN12,Station 12,22:26,22:31,748,STN1,STN28
18276,Train 18276,13,STN13,Station 13,23:26,23:29,790,STN1,STN28
18276,Train 18276,14,STN14,Station 14,01:18,01:28,877,STN1,STN28
18276,Train 18276,15,STN15,Station 15,03:00,03:04,955,STN1,STN28
18276,Train 18276,16,STN16,Station 16,04:17,04:26,1012,STN1,STN28
18276,Train 18276,17,STN17,Station 17,05:46,05:53,1065,STN1,STN28
18276,Train 18276,18,STN18,Station 18,07:45,07:51,1098,STN1,STN28
18276,Train 18276,19,STN19,Station 19,09:14,09:21,1157,STN1,STN28
18276,Train 18276,20,STN20,Station 20,10:19,10:21,1245,STN1,STN28
18276,Train 18276,21,STN21,Station 21,11:13,11:20,1303,STN1,STN28
18276,Train 18276,22,STN22,Station 22,13:03,13:07,1379,STN1,STN28
18276,Train 18276,23,STN23,Station 23,13:53,14:00,1457,STN1,STN28
18276,Train 18276,24,STN24,Station 24,15:36,15:41,1540,STN1,STN28
18276,Train 18276,25,STN25,Station 25,16:30,16:40,1602,STN1,STN28
18276,Train 18276,26,STN26,Station 26,18:20,18:29,1655,STN1,STN28
18276,Train 18276,27,STN27,Station 27,19:46,19:51,1705,STN1,STN28
18276,Train 18276,28,STN28,Station 28,20:32,00:00,1779,STN1,STN28
17240,Train 17240,1,STN1,Station 1,00:00,08:10,0,STN1,STN26
17240,Train 17240,2,STN2,Station 2,09:45,09:53,59,STN1,STN26
17240,Train 17240,3,STN3,Station 3,11:52,12:02,141,STN1,STN26
17240,Train 17240,4,STN4,Station 4,13:01,13:06,174,STN1,STN26
17240,Train 17240,5,STN5,Station 5,13:49,13:59,247,STN1,STN26
17240,Train 17240,6,STN6,Station 6,14:53,14:56,311,STN1,STN26
17240,Train 17240,7,STN7,Station 7,16:53,17:03,348,STN1,STN26
17240,Train 17240,8,STN8,Station 8,18:48,18:51,400,STN1,STN26
17240,Train 17240,9,STN9,Station 9,20:44,20:53,456,STN1,STN26
17240,Train 17240,10,STN10,Station 10,21:46,21:56,555,STN1,STN26
17240,Train 17240,11,STN11,Station 11,22:50,22:54,620,STN1,STN26
17240,Train 17240,12,STN12,Station 12,00:45,00:55,698,STN1,STN26
17240,Train 17240,13,STN13,Station 13,01:45,01:48,747,STN1,STN26
17240,Train 17240,14,STN14,Station 14,03:19,03:22,824,STN1,STN26
17240,Train 17240,15,STN15,Station 15,05:00,05:09,878,STN1,STN26
17240,Train 17240,16,STN16,Station 16,06:55,07:04,939,STN1,STN26
17240,Train 17240,17,STN17,Station 17,07:52,07:57,983,STN1,STN26
17240,Train 17240,18,STN18,Station 18,09:33,09:43,1073,STN1,STN26
17240,Train 17240,19,STN19,Station 19,10:43,10:45,1110,STN1,STN26
17240,Train 17240,20,STN20,Station 20,12:36,12:45,1202,STN1,STN26
17240,Train 17240,21,STN21,Station 21,13:49,13:52,1256,STN1,STN26
17240,Train 17240,22,STN22,Station 22,14:53,15:02,1335,STN1,STN26
17240,Train 17240,23,STN23,Station 23,16:08,16:16,1366,STN1,STN26
17240,Train 17240,24,STN24,Station 24,17:06,17:15,1438,STN1,STN26
17240,Train 17240,25,STN25,Station 25,18:29,18:31,1499,STN1,STN26
17240,Train 17240,26,STN26,Station 26,19:43,00:00,1579,STN1,STN26
17849,Train 17849,1,STN1,Station 1,00:00,08:03,0,STN1,STN19
17849,Train 17849,2,STN2,Station 2,09:18,09:22,43,STN1,STN19
17849,Train 17849,3,STN3,Station 3,11:04,11:12,119,STN1,STN19
17849,Train 17849,4,STN4,Station 4,12:24,12:26,176,STN1,STN19
17849,Train 17849,5,STN5,Station 5,13:42,13:46,236,STN1,STN19
17849,Train 17849,6,STN6,Station 6,14:34,14:37,311,STN1,STN19
17849,Train 17849,7,STN7,Station 7,15:50,15:59,342,STN1,STN19
17849,Train 17849,8,STN8,Station 8,16:51,16:58,403,STN1,STN19
17849,Train 17849,9,STN9,Station 9,18:26,18:28,451,STN1,STN19
17849,Train 17849,10,STN10,Station 10,20:08,20:15,489,STN1,STN19
17849,Train 17849,11,STN11,Station 11,21:51,21:58,524,STN1,STN19
17849,Train 17849,12,STN12,Station 12,22:47,22:56,605,STN1,STN19
17849,Train 17849,13,STN13,Station 13,00:49,00:57,691,STN1,STN19
17849,Train 17849,14,STN14,Station 14,02:35,02:41,741,STN1,STN19
17849,Train 17849,15,STN15,Station 15,03:39,03:45,807,STN1,STN19
17849,Train 17849,16,STN16,Station 16,05:30,05:37,899,STN1,STN19
17849,Train 17849,17,STN17,Station 17,06:44,06:52,980,STN1,STN19
17849,Train 17849,18,STN18,Station 18,07:58,08:08,1022,STN1,STN19
17849,Train 17849,19,STN19,Station 19,09:26,00:00,1087,STN1,STN19
17557,Train 17557,1,STN1,Station 1,00:00,08:03,0,STN1,STN11
17557,Train 17557,2,STN2,Station 2,09:11,09:14,68,STN1,STN11
17557,Train 17557,3,STN3,Station 3,11:01,11:04,108,STN1,STN11
17557,Train 17557,4,STN4,Station 4,12:44,12:52,174,STN1,STN11
17557,Train 17557,5,STN5,Station 5,13:53,14:00,238,STN1,STN11
17557,Train 17557,6,STN6,Station 6,15:07,15:13,311,STN1,STN11
17557,Train 17557,7,STN7,Station 7,16:43,16:48,398,STN1,STN11
17557,Train 17557,8,STN8,Station 8,18:02,18:10,466,STN1,STN11
17557,Train 17557,9,STN9,Station 9,19:25,19:31,499,STN1,STN11
17557,Train 17557,10,STN10,Station 10,21:28,21:37,573,STN1,STN11
17557,Train 17557,11,STN11,Station 11,23:13,00:00,624,STN1,STN11
20554,Train 20554,1,STN1,Station 1,00:00,08:10,0,STN1,STN27
20554,Train 20554,2,STN2,Station 2,09:57,10:00,55,STN1,STN27
20554,Train 20554,3,STN3,Station 3,10:58,11:00,138,STN1,STN27
20554,Train 20554,4,STN4,Station 4,11:49,11:52,171,STN1,STN27
20554,Train 20554,5,STN5,Station 5,12:46,12:52,255,STN1,STN27
20554,Train 20554,6,STN6,Station 6,13:45,13:47,285,STN1,STN27
20554,Train 20554,7,STN7,Station 7,15:46,15:55,335,STN1,STN27
20554,Train 20554,8,STN8,Station 8,16:41,16:48,426,STN1,STN27
20554,Train 20554,9,STN9,Station 9,18:38,18:43,474,STN1,STN27
20554,Train 20554,10,STN10,Station 10,20:39,20:49,574,STN1,STN27
20554,Train 20554,11,STN11,Station 11,22:42,22:44,618,STN1,STN27
20554,Train 20554,12,STN12,Station 12,23:37,23:42,657,STN1,STN27
20554,Train 20554,13,STN13,Station 13,00:34,00:44,733,STN1,STN27
20554,Train 20554,14,STN14,Station 14,02:38,02:40,779,STN1,STN27
20554,Train 20554,15,STN15,Station 15,03:36,03:45,870,STN1,STN27
20554,Train 20554,16,STN16,Station 16,04:28,04:35,915,STN1,STN27
20554,Train 20554,17,STN17,Station 17,06:20,06:27,952,STN1,STN27
20554,Train 20554,18,STN18,Station 18,07:50,07:53,1030,STN1,STN27
20554,Train 20554,19,STN19,Station 19,08:41,08:49,1129,STN1,STN27
20554,Train 20554,20,STN20,Station 20,09:56,10:01,1202,STN1,STN27
20554,Train 20554,21,STN21,Station 21,11:41,11:46,1273,STN1,STN27
20554,Train 20554,22,STN22,Station 22,13:21,13:28,1372,STN1,STN27
20554,Train 20554,23,STN23,Station 23,14:34,14:40,1470,STN1,STN27
20554,Train 20554,24,STN24,Station 24,16:24,16:34,1549,STN1,STN27
20554,Train 20554,25,STN25,Station 25,17:15,17:17,1579,STN1,STN27
20554,Train 20554,26,STN26,Station 26,18:37,18:40,1655,STN1,STN27
20554,Train 20554,27,STN27,Station 27,19:56,00:00,1689,STN1,STN27
13377,Train 13377,1,STN1,Station 1,00:00,08:04,0,STN1,STN23
13377,Train 13377,2,STN2,Station 2,08:52,09:01,62,STN1,STN23
13377,Train 13377,3,STN3,Station 3,10:44,10:49,97,STN1,STN23
13377,Train 13377,4,STN4,Station 4,12:38,12:47,179,STN1,STN23
13377,Train 13377,5,STN5,Station 5,13:41,13:43,266,STN1,STN23
13377,Train 13377,6,STN6,Station 6,15:02,15:06,361,STN1,STN23
13377,Train 13377,7,STN7,Station 7,16:41,16:44,396,STN1,STN23
13377,Train 13377,8,STN8,Station 8,17:28,17:31,494,STN1,STN23
13377,Train 13377,9,STN9,Station 9,19:04,19:14,593,STN1,STN23
13377,Train 13377,10,STN10,Station 10,20:47,20:49,673,STN1,STN23
13377,Train 13377,11,STN11,Station 11,22:45,22:50,734,STN1,STN23
13377,Train 13377,12,STN12,Station 12,00:41,00:43,820,STN1,STN23
13377,Train 13377,13,STN13,Station 13,01:32,01:41,850,STN1,STN23
13377,Train 13377,14,STN14,Station 14,03:14,03:23,882,STN1,STN23
13377,Train 13377,15,STN15,Station 15,04:25,04:28,950,STN1,STN23
13377,Train 13377,16,STN16,Station 16,06:20,06:25,992,STN1,STN23
13377,Train 13377,17,STN17,Station 17,07:45,07:51,1081,STN1,STN23
13377,Train 13377,18,STN18,Station 18,08:34,08:39,1136,STN1,STN23
13377,Train 13377,19,STN19,Station 19,10:35,10:40,1168,STN1,STN23
13377,Train 13377,20,STN20,Station 20,12:40,12:50,1241,STN1,STN23
13377,Train 13377,21,STN21,Station 21,14:12,14:16,1333,STN1,STN23
13377,Train 13377,22,STN22,Station 22,15:29,15:37,1399,STN1,STN23
13377,Train 13377,23,STN23,Station 23,16:22,00:00,1453,STN1,STN23
12885,Train 12885,1,STN1,Station 1,00:00,08:04,0,STN1,STN27
12885,Train 12885,2,STN2,Station 2,09:37,09:41,38,STN1,STN27
12885,Train 12885,3,STN3,Station 3,11:12,11:14,86,STN1,STN27
12885,Train 12885,4,STN4,Station 4,13:03,13:11,169,STN1,STN27
12885,Train 12885,5,STN5,Station 5,14:23,14:28,208,STN1,STN27
12885,Train 12885,6,STN6,Station 6,16:24,16:26,274,STN1,STN27
12885,Train 12885,7,STN7,Station 7,18:26,18:35,307,STN1,STN27
12885,Train 12885,8,STN8,Station 8,20:13,20:19,351,STN1,STN27
12885,Train 12885,9,STN9,Station 9,21:30,21:37,404,STN1,STN27
12885,Train 12885,10,STN10,Station 10,22:47,22:55,453,STN1,STN27
12885,Train 12885,11,STN11,Station 11,00:42,00:48,503,STN1,STN27
12885,Train 12885,12,STN12,Station 12,02:20,02:30,569,STN1,STN27
12885,Train 12885,13,STN13,Station 13,03:13,03:16,611,STN1,STN27
12885,Train 12885,14,STN14,Station 14,04:39,04:47,668,STN1,STN27
